fact,explanation,gen_time
"[2, 0, 19, 0, 30, 12, 1, 0, 13, 7, 30, 8, 0, 0, 8, 1, 30, 2, 11, 0, 13, 1, 30, 8, 5, 0, 13, 0, 30, 1, 5, 0, 6, 1, -3, 0, 1, 599]","[2, 2, 1, 1, 30, 13, 0, 0, 13, 2, 30, 6, 0, 0, 6, 0, 30, 1, 12, 0, 13, 0, 30, 6, 7, 0, 13, 0, 30, 1, 5, 0, 6, -3, 0, 1, 559, 59]",67.2831802368164
"[2, 0, 33, 2, 30, 11, 0, 0, 11, 3, 30, 10, 0, 0, 10, 0, 30, 4, 7, 0, 11, 3, 30, 10, 1, 0, 11, 0, 30, 2, 6, 0, 8, 1, -3, 0, 1, 1019]","[2, 2, 1, 4, 30, 17, 0, 0, 17, 2, 30, 8, 2, 0, 10, 0, 30, 1, 16, 0, 17, 1, 30, 14, 3, 0, 17, 0, 30, 1, 6, 0, 7, -3, 0, 1, 959, 59]",69.26030015945435
"[2, 1, 5, 8, 30, 9, 0, 0, 9, 3, 30, 8, 0, 0, 8, 0, 30, 3, 6, 0, 9, 1, 30, 7, 2, 0, 9, 0, 30, 2, 4, 0, 6, 0, 22, 0, 0, 179]","[2, 2, 1, 1, 30, 7, 2, 0, 9, 2, 30, 6, 0, 0, 6, 0, 30, 0, 9, 0, 9, 0, 30, 5, 4, 0, 9, 0, 30, 2, 2, 0, 4, 22, 0, 0, 159, 59]",71.42990446090698
"[2, 2, 27, 1, 30, 3, 1, 0, 4, 0, 30, 6, 0, 0, 6, 0, 30, 0, 4, 0, 4, 3, 30, 4, 0, 0, 4, 1, 30, 3, 0, 0, 3, 1, -3, 0, 1, 819]","[2, 2, 1, 1, 30, 6, 7, 0, 13, 5, 30, 2, 0, 0, 2, 0, 30, 3, 10, 0, 13, 9, 30, 13, 0, 0, 13, 0, 30, 1, 1, 0, 2, -3, 0, 1, 799, 59]",75.02403378486633
"[2, 4, 11, 0, 30, 9, 3, 0, 12, 0, 30, 8, 2, 0, 10, 0, 30, 4, 8, 0, 12, 0, 30, 9, 3, 0, 12, 1, 30, 2, 7, 0, 9, 1, -3, 0, 1, 359]","[2, 2, 1, 1, 30, 4, 3, 0, 7, 0, 30, 2, 0, 0, 2, 0, 30, 1, 6, 0, 7, 0, 30, 3, 4, 0, 7, 0, 30, 0, 2, 0, 2, -3, 0, 1, 339, 59]",71.5291576385498
"[2, 2, 29, 3, 30, 11, 1, 0, 12, 0, 30, 0, 2, 0, 2, 0, 30, 6, 6, 0, 12, 0, 30, 9, 3, 0, 12, 2, 30, 2, 2, 0, 4, 1, -3, 0, 1, 899]","[2, 2, 1, 1, 30, 7, 2, 0, 9, 2, 30, 2, 0, 0, 2, 0, 30, 4, 5, 0, 9, 1, 30, 5, 4, 0, 9, 0, 30, 0, 1, 0, 1, -3, 0, 1, 879, 59]",67.64691615104675
"[2, 3, 24, 6, 30, 5, 4, 0, 9, 0, 30, 2, 0, 0, 2, 0, 30, 2, 7, 0, 9, 0, 30, 4, 5, 0, 9, 1, 30, 1, 4, 0, 5, 1, -3, 0, 1, 739]","[2, 2, 1, 1, 30, 10, 7, 0, 17, 2, 30, 8, 0, 0, 8, 0, 30, 3, 14, 0, 17, 0, 30, 14, 3, 0, 17, 0, 30, 3, 3, 0, 6, -3, 0, 1, 719, 59]",66.56275200843811
"[2, 2, 6, 3, 30, 9, 0, 0, 9, 6, 30, 4, 0, 0, 4, 0, 30, 3, 6, 0, 9, 2, 30, 7, 2, 0, 9, 1, 30, 1, 4, 0, 5, 0, 22, 0, 0, 199]","[2, 2, 1, 6, 30, 14, 0, 0, 14, 3, 30, 10, 0, 0, 10, 0, 30, 3, 11, 0, 14, 1, 30, 9, 5, 0, 14, 0, 30, 2, 5, 0, 7, 22, 0, 0, 179, 59]",66.67463183403015
"[2, 2, 17, 3, 30, 4, 0, 0, 4, 0, 30, 2, 2, 0, 4, 0, 30, 0, 4, 0, 4, 4, 30, 4, 0, 0, 4, 0, 30, 1, 2, 0, 3, 1, -3, 0, 1, 519]","[2, 2, 1, 1, 30, 10, 3, 0, 13, 2, 30, 6, 0, 0, 6, 0, 30, 0, 13, 0, 13, 5, 30, 13, 0, 0, 13, 0, 30, 3, 1, 0, 4, -3, 0, 1, 499, 59]",71.59617400169373
"[2, 4, 11, 2, 30, 2, 0, 0, 2, 0, 30, 0, 0, 0, 0, 0, 30, 1, 1, 0, 2, 0, 30, 2, 0, 0, 2, 0, 30, 0, 1, 0, 1, 1, -3, 0, 1, 339]","[2, 2, 1, 1, 30, 14, 0, 0, 14, 0, 30, 6, 4, 0, 10, 0, 30, 3, 11, 0, 14, 0, 30, 10, 4, 0, 14, 0, 30, 1, 5, 0, 6, -3, 0, 1, 319, 59]",67.9658260345459
